,n,mean_r,median_r
Q1_clean_bull,136417,-0.0057324193987802075,0.0
Q2_messy_bull,130797,-0.01771335238852786,0.0
Q3_messy_bear,130306,0.023629000258706682,0.0
Q4_clean_bear,129323,0.0011154973841652224,0.0
